[2019-10-26T21:24:02.670] [TRACE] wildseve - HWC Flagged Record - 1 :: 154
[2019-10-26T21:24:03.944] [TRACE] wildseve - HWC Flagged Record - 1 :: 155
[2019-10-26T21:24:04.918] [TRACE] wildseve - HWC Flagged Record - 1 :: 156
[2019-10-26T21:24:05.459] [TRACE] wildseve - HWC Flagged Record - 1 :: 157
[2019-10-26T21:24:06.019] [TRACE] wildseve - HWC Flagged Record - 1 :: 158
[2019-10-26T21:24:06.564] [TRACE] wildseve - HWC Flagged Record - 1 :: 159
[2019-10-26T21:24:07.121] [TRACE] wildseve - HWC Flagged Record - 1 :: 160
[2019-10-26T21:24:07.659] [TRACE] wildseve - HWC Flagged Record - 1 :: 161
[2019-10-26T21:24:08.201] [TRACE] wildseve - HWC Flagged Record - 1 :: 162
[2019-10-26T21:24:09.008] [TRACE] wildseve - HWC Flagged Record - 1 :: 163
[2019-10-26T21:24:09.576] [TRACE] wildseve - HWC Flagged Record - 1 :: 164
[2019-10-26T21:24:10.128] [TRACE] wildseve - HWC Flagged Record - 1 :: 165
